text,label
Exclusive deal! Get 90% off today only. Click now. Reply STOP to unsubscribe.,spam
Your verification code is 1934. Do not share it with anyone.,ham
I will be at the airport around 5 pm.,ham
Thanks for your help today! :),ham
Let's meet near the cafe.,ham
URGENT: Your number has been selected for a $500 reward. Reply WIN now.,spam
Your appointment is confirmed for tomorrow morning.,ham
Exclusive deal! Get 90% off today only. Click now.,spam
Your account won a promotional prize of $2000. Confirm immediately.,spam
What do you want for dinner tonight?,ham
Are you free this weekend?,ham
Happy birthday! Hope you have a great day.,ham
I'll call you after lunch.,ham
Are you free this weekend?,ham
Happy birthday! Hope you have a great day.,ham
URGENT: Your number has been selected for a $2000 reward. Reply WIN now.,spam
The train arrives at in 20 minutes. :),ham
I left the keys on the table.,ham
Can you send me the address of the office?,ham
Let's meet near the cafe. See you.,ham
Your appointment is confirmed for tonight. See you.,ham
Can you call me when you get home?,ham
The train arrives at tomorrow morning.,ham
Let's meet near the gym.,ham
"I bought the tickets, everything is ready.",ham
Your verification code is 1934. Do not share it with anyone.,ham
Your appointment is confirmed for in 20 minutes.,ham
Don't forget to bring the notes tomorrow.,ham
"I bought the tickets, everything is ready.",ham
Mom asked if you are coming home tonight.,ham
Your verification code is 7710. Do not share it with anyone.,ham
FREE entry into our prize draw. Reply YES now. Offer expires today.,spam
FREE entry into our prize draw. Reply YES now.,spam
Can you send me the address of the home? Let me know.,ham
Exclusive deal! Get 90% off today only. Click now.,spam
Free gift waiting for you. Click the link to claim $250.,spam
Your verification code is 7710. Do not share it with anyone.,ham
Limited offer: get a free voucher worth $500. Act now! Offer expires today.,spam
Act fast! You've won a brand new phone. Claim today.,spam
"Hey Sam, are we still meeting at 7:30?",ham
Can you send me the address of the school?,ham
I'll call you after lunch. Let me know.,ham
Your verification code is 5502. Do not share it with anyone.,ham
I left the keys on the table.,ham
Let's meet near the library.,ham
You are pre-approved for a special loan. Apply now.,spam
Final notice: your prize is waiting. Respond now to collect it.,spam
Don't forget to bring the notes tomorrow.,ham
Your account won a promotional prize of $100. Confirm immediately.,spam
I will be at the library around 6 pm.,ham
Your appointment is confirmed for 5 pm. :),ham
Are you free this weekend?,ham
Thanks for your help today!,ham
Mom asked if you are coming home tonight. Let me know.,ham
Mom asked if you are coming home tonight.,ham
What do you want for dinner tonight?,ham
"I bought the tickets, everything is ready.",ham
The train arrives at 7:30. Let me know.,ham
WINNER! Call now to receive your $2000 bonus.,spam
Mom asked if you are coming home tonight.,ham
Your verification code is 7710. Do not share it with anyone.,ham
The train arrives at 5 pm.,ham
"Hey Kate, are we still meeting at 7:30?",ham
Please send me the file when you have time.,ham
Let's meet near the cafe.,ham
I left the keys on the table.,ham
You are pre-approved for a special loan. Apply now.,spam
Please send me the file when you have time. Thanks.,ham
I'll call you after lunch.,ham
Congratulations! You won $100. Claim your prize now!,spam
Congratulations! You won $1000. Claim your prize now!,spam
"Hey Anna, are we still meeting at 5 pm? Let me know.",ham
Free gift waiting for you. Click the link to claim $250. Terms apply.,spam
"I bought the tickets, everything is ready.",ham
I will be at the school around tomorrow morning.,ham
Can you send me the address of the gym?,ham
I'll call you after lunch.,ham
URGENT: Your number has been selected for a $100 reward. Reply WIN now.,spam
Are you free this weekend?,ham
Are you free this weekend?,ham
Mom asked if you are coming home tonight.,ham
Don't forget to bring the notes tomorrow.,ham
Are you free this weekend?,ham
FREE entry into our prize draw. Reply YES now. Reply STOP to unsubscribe.,spam
Are you free this weekend?,ham
Your account won a promotional prize of $2000. Confirm immediately. Reply STOP to unsubscribe.,spam
I'll call you after lunch.,ham
Your verification code is 1934. Do not share it with anyone.,ham
Don't forget to bring the notes tomorrow.,ham
I'll call you after lunch. See you.,ham
Don't forget to bring the notes tomorrow.,ham
Your account won a promotional prize of $2000. Confirm immediately.,spam
"I'm running a little late, see you soon.",ham
You have been chosen for an exclusive cash prize of $50.,spam
